Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 488
Model config: {'sequence_len': 2048, 'vocab_size': 488, 'n_layer': 3, 'n_head': 1, 'n_kv_head': 1, 'n_embd': 128, 'window_pattern': 'L', 'dropout': 0.25}
Parameter counts:
  wte                     : 62,464
  value_embeds            : 124,928
  lm_head                 : 62,464
  transformer_matrices    : 589,888
  scalars                 : 6
  total                   : 839,750
Estimated FLOPs per token: 1.335130e+07
Scaling AdamW LRs by 1/sqrt(128/768) = 2.449490
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 6.188484 | lrm: 1.00 | dt: 1706ms | tok/sec: 38,409 | mfu: 0.1% | epoch: 14 | remaining: 300s    
step 00016 (1.9%) | loss: 2.309169 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,213 | mfu: 0.1% | epoch: 121 | remaining: 293s    
step 00017 (2.3%) | loss: 2.210918 | lrm: 1.00 | dt: 1169ms | tok/sec: 56,060 | mfu: 0.1% | epoch: 128 | remaining: 292s    
step 00018 (2.7%) | loss: 2.118157 | lrm: 1.00 | dt: 1172ms | tok/sec: 55,916 | mfu: 0.1% | epoch: 134 | remaining: 291s    
step 00019 (3.1%) | loss: 2.040754 | lrm: 1.00 | dt: 1169ms | tok/sec: 56,042 | mfu: 0.1% | epoch: 141 | remaining: 289s    
step 00020 (3.5%) | loss: 1.957490 | lrm: 1.00 | dt: 1171ms | tok/sec: 55,958 | mfu: 0.1% | epoch: 148 | remaining: 288s    
step 00021 (3.9%) | loss: 1.877568 | lrm: 1.00 | dt: 1169ms | tok/sec: 56,062 | mfu: 0.1% | epoch: 154 | remaining: 287s    
step 00022 (4.3%) | loss: 1.798692 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,204 | mfu: 0.1% | epoch: 161 | remaining: 286s    
step 00023 (4.7%) | loss: 1.723564 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,170 | mfu: 0.1% | epoch: 168 | remaining: 285s    
step 00024 (5.1%) | loss: 1.653077 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,183 | mfu: 0.1% | epoch: 175 | remaining: 284s    
step 00025 (5.5%) | loss: 1.586163 | lrm: 1.00 | dt: 1168ms | tok/sec: 56,108 | mfu: 0.1% | epoch: 181 | remaining: 282s    
step 00026 (5.8%) | loss: 1.524567 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,177 | mfu: 0.1% | epoch: 188 | remaining: 281s    
step 00027 (6.2%) | loss: 1.463427 | lrm: 1.00 | dt: 1178ms | tok/sec: 55,645 | mfu: 0.1% | epoch: 195 | remaining: 280s    
step 00028 (6.6%) | loss: 1.405325 | lrm: 1.00 | dt: 1170ms | tok/sec: 55,990 | mfu: 0.1% | epoch: 201 | remaining: 279s    
step 00029 (7.0%) | loss: 1.349343 | lrm: 1.00 | dt: 1171ms | tok/sec: 55,978 | mfu: 0.1% | epoch: 208 | remaining: 278s    
step 00030 (7.4%) | loss: 1.296526 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,199 | mfu: 0.1% | epoch: 215 | remaining: 277s    
step 00031 (7.8%) | loss: 1.247545 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,179 | mfu: 0.1% | epoch: 221 | remaining: 275s    
step 00032 (8.2%) | loss: 1.201260 | lrm: 1.00 | dt: 1170ms | tok/sec: 56,035 | mfu: 0.1% | epoch: 228 | remaining: 274s    
step 00033 (8.6%) | loss: 1.156979 | lrm: 1.00 | dt: 1165ms | tok/sec: 56,240 | mfu: 0.1% | epoch: 235 | remaining: 273s    
step 00034 (9.0%) | loss: 1.114567 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,188 | mfu: 0.1% | epoch: 242 | remaining: 272s    
step 00035 (9.3%) | loss: 1.074780 | lrm: 1.00 | dt: 1170ms | tok/sec: 56,028 | mfu: 0.1% | epoch: 248 | remaining: 271s    
step 00036 (9.7%) | loss: 1.038140 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,133 | mfu: 0.1% | epoch: 255 | remaining: 270s    
step 00037 (10.1%) | loss: 1.005083 | lrm: 1.00 | dt: 1163ms | tok/sec: 56,328 | mfu: 0.1% | epoch: 262 | remaining: 268s    
step 00038 (10.5%) | loss: 0.973400 | lrm: 1.00 | dt: 1168ms | tok/sec: 56,124 | mfu: 0.1% | epoch: 268 | remaining: 267s    
step 00039 (10.9%) | loss: 0.942341 | lrm: 1.00 | dt: 1169ms | tok/sec: 56,077 | mfu: 0.1% | epoch: 275 | remaining: 266s    
step 00040 (11.3%) | loss: 0.912717 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,217 | mfu: 0.1% | epoch: 282 | remaining: 265s    
step 00041 (11.7%) | loss: 0.885777 | lrm: 1.00 | dt: 1165ms | tok/sec: 56,238 | mfu: 0.1% | epoch: 288 | remaining: 264s    
step 00042 (12.1%) | loss: 0.860795 | lrm: 1.00 | dt: 1169ms | tok/sec: 56,069 | mfu: 0.1% | epoch: 295 | remaining: 263s    
step 00043 (12.5%) | loss: 0.836057 | lrm: 1.00 | dt: 1164ms | tok/sec: 56,279 | mfu: 0.1% | epoch: 302 | remaining: 261s    
step 00044 (12.8%) | loss: 0.812282 | lrm: 1.00 | dt: 1168ms | tok/sec: 56,117 | mfu: 0.1% | epoch: 309 | remaining: 260s    
step 00045 (13.2%) | loss: 0.790935 | lrm: 1.00 | dt: 1171ms | tok/sec: 55,944 | mfu: 0.1% | epoch: 315 | remaining: 259s    
step 00046 (13.6%) | loss: 0.770201 | lrm: 1.00 | dt: 1164ms | tok/sec: 56,302 | mfu: 0.1% | epoch: 322 | remaining: 258s    
step 00047 (14.0%) | loss: 0.749676 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,144 | mfu: 0.1% | epoch: 329 | remaining: 257s    
step 00048 (14.4%) | loss: 0.731444 | lrm: 1.00 | dt: 1169ms | tok/sec: 56,054 | mfu: 0.1% | epoch: 335 | remaining: 256s    
step 00049 (14.8%) | loss: 0.713973 | lrm: 1.00 | dt: 1162ms | tok/sec: 56,404 | mfu: 0.1% | epoch: 342 | remaining: 254s    
step 00050 (15.2%) | loss: 0.694184 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,163 | mfu: 0.1% | epoch: 349 | remaining: 253s    
step 00051 (15.6%) | loss: 0.675640 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,174 | mfu: 0.1% | epoch: 356 | remaining: 252s    
step 00052 (16.0%) | loss: 0.659142 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,134 | mfu: 0.1% | epoch: 362 | remaining: 251s    
step 00053 (16.4%) | loss: 0.642906 | lrm: 1.00 | dt: 1169ms | tok/sec: 56,043 | mfu: 0.1% | epoch: 369 | remaining: 250s    
step 00054 (16.7%) | loss: 0.626474 | lrm: 1.00 | dt: 1169ms | tok/sec: 56,044 | mfu: 0.1% | epoch: 376 | remaining: 249s    
step 00055 (17.1%) | loss: 0.610641 | lrm: 1.00 | dt: 1161ms | tok/sec: 56,449 | mfu: 0.1% | epoch: 382 | remaining: 247s    
step 00056 (17.5%) | loss: 0.593081 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,196 | mfu: 0.1% | epoch: 389 | remaining: 246s    
step 00057 (17.9%) | loss: 0.575784 | lrm: 1.00 | dt: 1169ms | tok/sec: 56,048 | mfu: 0.1% | epoch: 396 | remaining: 245s    
step 00058 (18.3%) | loss: 0.559645 | lrm: 1.00 | dt: 1165ms | tok/sec: 56,269 | mfu: 0.1% | epoch: 402 | remaining: 244s    
step 00059 (18.7%) | loss: 0.544316 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,187 | mfu: 0.1% | epoch: 409 | remaining: 243s    
step 00060 (19.1%) | loss: 0.529853 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,171 | mfu: 0.1% | epoch: 416 | remaining: 242s    
step 00061 (19.5%) | loss: 0.516274 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,179 | mfu: 0.1% | epoch: 423 | remaining: 240s    
step 00062 (19.9%) | loss: 0.502667 | lrm: 1.00 | dt: 1168ms | tok/sec: 56,104 | mfu: 0.1% | epoch: 429 | remaining: 239s    
step 00063 (20.2%) | loss: 0.487238 | lrm: 1.00 | dt: 1168ms | tok/sec: 56,132 | mfu: 0.1% | epoch: 436 | remaining: 238s    
step 00064 (20.6%) | loss: 0.470890 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,155 | mfu: 0.1% | epoch: 443 | remaining: 237s    
step 00065 (21.0%) | loss: 0.455223 | lrm: 1.00 | dt: 1163ms | tok/sec: 56,340 | mfu: 0.1% | epoch: 449 | remaining: 236s    
step 00066 (21.4%) | loss: 0.439973 | lrm: 1.00 | dt: 1171ms | tok/sec: 55,983 | mfu: 0.1% | epoch: 456 | remaining: 235s    
step 00067 (21.8%) | loss: 0.425558 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,151 | mfu: 0.1% | epoch: 463 | remaining: 233s    
step 00068 (22.2%) | loss: 0.411643 | lrm: 1.00 | dt: 1178ms | tok/sec: 55,615 | mfu: 0.1% | epoch: 469 | remaining: 232s    
step 00069 (22.6%) | loss: 0.397695 | lrm: 1.00 | dt: 1172ms | tok/sec: 55,932 | mfu: 0.1% | epoch: 476 | remaining: 231s    
step 00070 (23.0%) | loss: 0.385244 | lrm: 1.00 | dt: 1168ms | tok/sec: 56,131 | mfu: 0.1% | epoch: 483 | remaining: 230s    
step 00071 (23.4%) | loss: 0.374500 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,206 | mfu: 0.1% | epoch: 490 | remaining: 229s    
step 00072 (23.7%) | loss: 0.363900 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,151 | mfu: 0.1% | epoch: 496 | remaining: 228s    
step 00073 (24.1%) | loss: 0.350697 | lrm: 1.00 | dt: 1171ms | tok/sec: 55,976 | mfu: 0.1% | epoch: 503 | remaining: 226s    
step 00074 (24.5%) | loss: 0.336783 | lrm: 1.00 | dt: 1172ms | tok/sec: 55,932 | mfu: 0.1% | epoch: 510 | remaining: 225s    
step 00075 (24.9%) | loss: 0.324543 | lrm: 1.00 | dt: 1173ms | tok/sec: 55,856 | mfu: 0.1% | epoch: 516 | remaining: 224s    
step 00076 (25.3%) | loss: 0.312621 | lrm: 1.00 | dt: 1169ms | tok/sec: 56,053 | mfu: 0.1% | epoch: 523 | remaining: 223s    
step 00077 (25.7%) | loss: 0.299871 | lrm: 1.00 | dt: 1173ms | tok/sec: 55,848 | mfu: 0.1% | epoch: 530 | remaining: 222s    
step 00078 (26.1%) | loss: 0.287486 | lrm: 1.00 | dt: 1173ms | tok/sec: 55,871 | mfu: 0.1% | epoch: 537 | remaining: 221s    
step 00079 (26.5%) | loss: 0.276277 | lrm: 1.00 | dt: 1176ms | tok/sec: 55,745 | mfu: 0.1% | epoch: 543 | remaining: 219s    
step 00080 (26.9%) | loss: 0.266557 | lrm: 1.00 | dt: 1170ms | tok/sec: 56,015 | mfu: 0.1% | epoch: 550 | remaining: 218s    
step 00081 (27.3%) | loss: 0.258282 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,154 | mfu: 0.1% | epoch: 557 | remaining: 217s    
step 00082 (27.6%) | loss: 0.247523 | lrm: 1.00 | dt: 1169ms | tok/sec: 56,058 | mfu: 0.1% | epoch: 563 | remaining: 216s    
step 00083 (28.0%) | loss: 0.236683 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,141 | mfu: 0.1% | epoch: 570 | remaining: 215s    
step 00084 (28.4%) | loss: 0.226508 | lrm: 1.00 | dt: 1170ms | tok/sec: 56,028 | mfu: 0.1% | epoch: 577 | remaining: 214s    
step 00085 (28.8%) | loss: 0.217084 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,183 | mfu: 0.1% | epoch: 583 | remaining: 212s    
step 00086 (29.2%) | loss: 0.207195 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,200 | mfu: 0.1% | epoch: 590 | remaining: 211s    
step 00087 (29.6%) | loss: 0.198143 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,167 | mfu: 0.1% | epoch: 597 | remaining: 210s    
step 00088 (30.0%) | loss: 0.189489 | lrm: 1.00 | dt: 1164ms | tok/sec: 56,286 | mfu: 0.1% | epoch: 604 | remaining: 209s    
step 00089 (30.4%) | loss: 0.181287 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,142 | mfu: 0.1% | epoch: 610 | remaining: 208s    
step 00090 (30.8%) | loss: 0.172068 | lrm: 1.00 | dt: 1172ms | tok/sec: 55,926 | mfu: 0.1% | epoch: 617 | remaining: 207s    
step 00091 (31.2%) | loss: 0.163774 | lrm: 1.00 | dt: 1169ms | tok/sec: 56,080 | mfu: 0.1% | epoch: 624 | remaining: 205s    
step 00092 (31.5%) | loss: 0.156041 | lrm: 1.00 | dt: 1164ms | tok/sec: 56,309 | mfu: 0.1% | epoch: 630 | remaining: 204s    
step 00093 (31.9%) | loss: 0.148909 | lrm: 1.00 | dt: 1162ms | tok/sec: 56,392 | mfu: 0.1% | epoch: 637 | remaining: 203s    
step 00094 (32.3%) | loss: 0.143079 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,160 | mfu: 0.1% | epoch: 644 | remaining: 202s    
step 00095 (32.7%) | loss: 0.136728 | lrm: 1.00 | dt: 1168ms | tok/sec: 56,086 | mfu: 0.1% | epoch: 651 | remaining: 201s    
step 00096 (33.1%) | loss: 0.129617 | lrm: 1.00 | dt: 1169ms | tok/sec: 56,055 | mfu: 0.1% | epoch: 657 | remaining: 200s    
step 00097 (33.5%) | loss: 0.123138 | lrm: 1.00 | dt: 1164ms | tok/sec: 56,298 | mfu: 0.1% | epoch: 664 | remaining: 198s    
step 00098 (33.9%) | loss: 0.117718 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,168 | mfu: 0.1% | epoch: 671 | remaining: 197s    
step 00099 (34.3%) | loss: 0.113548 | lrm: 1.00 | dt: 1165ms | tok/sec: 56,258 | mfu: 0.1% | epoch: 677 | remaining: 196s    
step 00100 (34.7%) | loss: 0.110384 | lrm: 1.00 | dt: 1169ms | tok/sec: 56,058 | mfu: 0.1% | epoch: 684 | remaining: 195s    
step 00101 (35.0%) | loss: 0.105376 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,141 | mfu: 0.1% | epoch: 691 | remaining: 194s    
step 00102 (35.4%) | loss: 0.100884 | lrm: 1.00 | dt: 1164ms | tok/sec: 56,299 | mfu: 0.1% | epoch: 697 | remaining: 193s    
step 00103 (35.8%) | loss: 0.096303 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,154 | mfu: 0.1% | epoch: 704 | remaining: 191s    
step 00104 (36.2%) | loss: 0.092526 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,148 | mfu: 0.1% | epoch: 711 | remaining: 190s    
step 00105 (36.6%) | loss: 0.089147 | lrm: 1.00 | dt: 1165ms | tok/sec: 56,250 | mfu: 0.1% | epoch: 718 | remaining: 189s    
step 00106 (37.0%) | loss: 0.085969 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,192 | mfu: 0.1% | epoch: 724 | remaining: 188s    
step 00107 (37.4%) | loss: 0.082082 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,186 | mfu: 0.1% | epoch: 731 | remaining: 187s    
step 00108 (37.8%) | loss: 0.078678 | lrm: 1.00 | dt: 1168ms | tok/sec: 56,086 | mfu: 0.1% | epoch: 738 | remaining: 186s    
step 00109 (38.2%) | loss: 0.075053 | lrm: 1.00 | dt: 1164ms | tok/sec: 56,286 | mfu: 0.1% | epoch: 744 | remaining: 184s    
step 00110 (38.5%) | loss: 0.071977 | lrm: 1.00 | dt: 1178ms | tok/sec: 55,652 | mfu: 0.1% | epoch: 751 | remaining: 183s    
step 00111 (38.9%) | loss: 0.068941 | lrm: 1.00 | dt: 1174ms | tok/sec: 55,799 | mfu: 0.1% | epoch: 758 | remaining: 182s    
step 00112 (39.3%) | loss: 0.066215 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,208 | mfu: 0.1% | epoch: 764 | remaining: 181s    
step 00113 (39.7%) | loss: 0.063573 | lrm: 1.00 | dt: 1169ms | tok/sec: 56,079 | mfu: 0.1% | epoch: 771 | remaining: 180s    
step 00114 (40.1%) | loss: 0.061084 | lrm: 1.00 | dt: 1168ms | tok/sec: 56,125 | mfu: 0.1% | epoch: 778 | remaining: 179s    
step 00115 (40.5%) | loss: 0.058871 | lrm: 1.00 | dt: 1168ms | tok/sec: 56,117 | mfu: 0.1% | epoch: 785 | remaining: 177s    
step 00116 (40.9%) | loss: 0.056254 | lrm: 1.00 | dt: 1162ms | tok/sec: 56,396 | mfu: 0.1% | epoch: 791 | remaining: 176s    
step 00117 (41.3%) | loss: 0.054111 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,191 | mfu: 0.1% | epoch: 798 | remaining: 175s    
step 00118 (41.7%) | loss: 0.052459 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,194 | mfu: 0.1% | epoch: 805 | remaining: 174s    
step 00119 (42.0%) | loss: 0.050733 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,173 | mfu: 0.1% | epoch: 811 | remaining: 173s    
step 00120 (42.4%) | loss: 0.049039 | lrm: 1.00 | dt: 1168ms | tok/sec: 56,110 | mfu: 0.1% | epoch: 818 | remaining: 172s    
step 00121 (42.8%) | loss: 0.047296 | lrm: 1.00 | dt: 1171ms | tok/sec: 55,987 | mfu: 0.1% | epoch: 825 | remaining: 170s    
step 00122 (43.2%) | loss: 0.045575 | lrm: 1.00 | dt: 1172ms | tok/sec: 55,902 | mfu: 0.1% | epoch: 832 | remaining: 169s    
step 00123 (43.6%) | loss: 0.043949 | lrm: 1.00 | dt: 1168ms | tok/sec: 56,119 | mfu: 0.1% | epoch: 838 | remaining: 168s    
step 00124 (44.0%) | loss: 0.042273 | lrm: 1.00 | dt: 1166ms | tok/sec: 56,191 | mfu: 0.1% | epoch: 845 | remaining: 167s    
step 00125 (44.4%) | loss: 0.040809 | lrm: 1.00 | dt: 1168ms | tok/sec: 56,120 | mfu: 0.1% | epoch: 852 | remaining: 166s    
step 00126 (44.8%) | loss: 0.039428 | lrm: 1.00 | dt: 1170ms | tok/sec: 56,017 | mfu: 0.1% | epoch: 858 | remaining: 165s    
step 00127 (45.2%) | loss: 0.038084 | lrm: 1.00 | dt: 1170ms | tok/sec: 56,016 | mfu: 0.1% | epoch: 865 | remaining: 163s    
step 00128 (45.6%) | loss: 0.037023 | lrm: 1.00 | dt: 1196ms | tok/sec: 54,809 | mfu: 0.1% | epoch: 872 | remaining: 162s    
step 00129 (45.9%) | loss: 0.035804 | lrm: 1.00 | dt: 1189ms | tok/sec: 55,102 | mfu: 0.1% | epoch: 878 | remaining: 161s    
step 00130 (46.3%) | loss: 0.034906 | lrm: 1.00 | dt: 1181ms | tok/sec: 55,512 | mfu: 0.1% | epoch: 885 | remaining: 160s    
step 00131 (46.7%) | loss: 0.034083 | lrm: 1.00 | dt: 1175ms | tok/sec: 55,774 | mfu: 0.1% | epoch: 892 | remaining: 159s    
step 00132 (47.1%) | loss: 0.033257 | lrm: 1.00 | dt: 1174ms | tok/sec: 55,819 | mfu: 0.1% | epoch: 899 | remaining: 157s    
step 00133 (47.5%) | loss: 0.032300 | lrm: 1.00 | dt: 1170ms | tok/sec: 56,027 | mfu: 0.1% | epoch: 905 | remaining: 156s    
step 00134 (47.9%) | loss: 0.031214 | lrm: 1.00 | dt: 1164ms | tok/sec: 56,296 | mfu: 0.1% | epoch: 912 | remaining: 155s    
step 00135 (48.3%) | loss: 0.030227 | lrm: 1.00 | dt: 1168ms | tok/sec: 56,121 | mfu: 0.1% | epoch: 919 | remaining: 154s    
step 00136 (48.7%) | loss: 0.029428 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,141 | mfu: 0.1% | epoch: 925 | remaining: 153s    
step 00137 (49.1%) | loss: 0.028578 | lrm: 1.00 | dt: 1163ms | tok/sec: 56,364 | mfu: 0.1% | epoch: 932 | remaining: 152s    
step 00138 (49.5%) | loss: 0.027734 | lrm: 1.00 | dt: 1171ms | tok/sec: 55,988 | mfu: 0.1% | epoch: 939 | remaining: 150s    
step 00139 (49.9%) | loss: 0.027051 | lrm: 1.00 | dt: 1165ms | tok/sec: 56,240 | mfu: 0.1% | epoch: 946 | remaining: 149s    
step 00140 (50.2%) | loss: 0.026385 | lrm: 1.00 | dt: 1167ms | tok/sec: 56,172 | mfu: 0.1% | epoch: 952 | remaining: 148s    
step 00141 (50.6%) | loss: 0.025821 | lrm: 0.99 | dt: 1168ms | tok/sec: 56,101 | mfu: 0.1% | epoch: 959 | remaining: 147s    
step 00142 (51.0%) | loss: 0.025297 | lrm: 0.98 | dt: 1166ms | tok/sec: 56,196 | mfu: 0.1% | epoch: 966 | remaining: 146s    
step 00143 (51.4%) | loss: 0.024546 | lrm: 0.97 | dt: 1164ms | tok/sec: 56,284 | mfu: 0.1% | epoch: 972 | remaining: 145s    
step 00144 (51.8%) | loss: 0.023990 | lrm: 0.96 | dt: 1166ms | tok/sec: 56,191 | mfu: 0.1% | epoch: 979 | remaining: 143s    
step 00145 (52.2%) | loss: 0.023395 | lrm: 0.96 | dt: 1173ms | tok/sec: 55,879 | mfu: 0.1% | epoch: 986 | remaining: 142s    
step 00146 (52.6%) | loss: 0.022811 | lrm: 0.95 | dt: 1176ms | tok/sec: 55,727 | mfu: 0.1% | epoch: 992 | remaining: 141s    
step 00147 (53.0%) | loss: 0.022225 | lrm: 0.94 | dt: 1214ms | tok/sec: 53,999 | mfu: 0.1% | epoch: 999 | remaining: 140s    
step 00148 (53.4%) | loss: 0.021907 | lrm: 0.93 | dt: 1201ms | tok/sec: 54,576 | mfu: 0.1% | epoch: 1006 | remaining: 139s    
step 00149 (53.8%) | loss: 0.021490 | lrm: 0.92 | dt: 1178ms | tok/sec: 55,611 | mfu: 0.1% | epoch: 1013 | remaining: 137s    
step 00150 (54.2%) | loss: 0.021036 | lrm: 0.92 | dt: 1164ms | tok/sec: 56,287 | mfu: 0.1% | epoch: 1019 | remaining: 136s    
step 00151 (54.6%) | loss: 0.020630 | lrm: 0.91 | dt: 1160ms | tok/sec: 56,492 | mfu: 0.1% | epoch: 1026 | remaining: 135s    
step 00152 (54.9%) | loss: 0.020167 | lrm: 0.90 | dt: 1159ms | tok/sec: 56,527 | mfu: 0.1% | epoch: 1033 | remaining: 134s    
step 00153 (55.3%) | loss: 0.019760 | lrm: 0.89 | dt: 1164ms | tok/sec: 56,280 | mfu: 0.1% | epoch: 1039 | remaining: 133s    
step 00154 (55.7%) | loss: 0.019268 | lrm: 0.89 | dt: 1162ms | tok/sec: 56,380 | mfu: 0.1% | epoch: 1046 | remaining: 132s    
step 00155 (56.1%) | loss: 0.018721 | lrm: 0.88 | dt: 1160ms | tok/sec: 56,494 | mfu: 0.1% | epoch: 1053 | remaining: 131s    
step 00156 (56.5%) | loss: 0.018385 | lrm: 0.87 | dt: 1161ms | tok/sec: 56,448 | mfu: 0.1% | epoch: 1060 | remaining: 129s    
step 00157 (56.9%) | loss: 0.018093 | lrm: 0.86 | dt: 1161ms | tok/sec: 56,439 | mfu: 0.1% | epoch: 1066 | remaining: 128s    
step 00158 (57.3%) | loss: 0.017731 | lrm: 0.85 | dt: 1159ms | tok/sec: 56,526 | mfu: 0.1% | epoch: 1073 | remaining: 127s    
step 00159 (57.7%) | loss: 0.017256 | lrm: 0.85 | dt: 1163ms | tok/sec: 56,361 | mfu: 0.1% | epoch: 1080 | remaining: 126s    
step 00160 (58.0%) | loss: 0.016760 | lrm: 0.84 | dt: 1163ms | tok/sec: 56,340 | mfu: 0.1% | epoch: 1086 | remaining: 125s    
step 00161 (58.4%) | loss: 0.016463 | lrm: 0.83 | dt: 1158ms | tok/sec: 56,584 | mfu: 0.1% | epoch: 1093 | remaining: 124s    
step 00162 (58.8%) | loss: 0.016205 | lrm: 0.82 | dt: 1165ms | tok/sec: 56,252 | mfu: 0.1% | epoch: 1100 | remaining: 122s    
step 00163 (59.2%) | loss: 0.015958 | lrm: 0.82 | dt: 1161ms | tok/sec: 56,469 | mfu: 0.1% | epoch: 1106 | remaining: 121s    
step 00164 (59.6%) | loss: 0.015822 | lrm: 0.81 | dt: 1167ms | tok/sec: 56,180 | mfu: 0.1% | epoch: 1113 | remaining: 120s    
